"";"x"
"1";0
"2";0,712538610393757
"3";0
"4";0
"5";0
"6";0
"7";0
"8";0
"9";0,348689107270991
"10";0
"11";0
"12";0
"13";0
"14";0
"15";0
"16";0
"17";0
"18";0
"19";0
"20";8,38325106724781
"21";0
"22";0
"23";0
"24";0
"25";0
"26";0
"27";0
"28";0
"29";0
"30";0
"31";0
"32";0
"33";19,3147304434427
"34";20,5584142620883
"35";0
"36";8,74993858461506
"37";0
"38";0
"39";0
"40";285,0745756639
"41";0,015765655108822
"42";0
"43";101,798835023267
"44";185,798245458508
"45";0
"46";0
"47";0
"48";0
"49";0
"50";0
"51";0
"52";0
"53";0
"54";0
"55";0
"56";0
"57";0
"58";0
"59";0
"60";0
"61";0
"62";0
"63";0
"64";0
"65";0
"66";0
"67";3,1157238919205
"68";0
"69";0
"70";0
"71";0,204365329189
"72";0
"73";0
"74";0
"75";0
"76";0
"77";0
"78";0
"79";0
"80";0
"81";0
"82";0
"83";0
"84";0
"85";0
"86";0
"87";0
"88";0
"89";0
"90";0
"91";0,602009215528474
"92";6,15901735944791
"93";7,70403402638727
"94";60,0535766372743
"95";0
"96";0
"97";0
"98";0
"99";0
"100";0
"101";0
"102";0
"103";0
"104";0
"105";0
"106";0
"107";0
"108";0
"109";0
"110";0
"111";222,015992470816
"112";1,394544330467
"113";0
"114";0
"115";0
"116";0
"117";2,93337708538329
"118";0,048839369297908
"119";0
"120";0
"121";0
"122";0
"123";0
"124";0
"125";0
"126";0
"127";45,5384451994435
"128";0
"129";0
"130";0
"131";0
"132";0
"133";0
"134";0
"135";0
"136";0
"137";0
"138";0
"139";0
"140";1149,6524284925
"141";0
"142";0
"143";0
"144";0
"145";0
"146";0
"147";0,0450123351984013
"148";0,0675185027395634
"149";0,0225061675809658
"150";543,028811520526
"151";0
"152";0
"153";0
"154";0
"155";0
"156";0
"157";0
"158";0
"159";0
"160";0
"161";0
"162";0
"163";485,218285588663
"164";0
"165";0
"166";0
"167";1182,06439044217
"168";0
"169";0
"170";0
"171";0
"172";0
"173";673,059375720762
"174";336,300478196159
"175";0
"176";0
"177";0
"178";0
"179";0
"180";0
"181";0
"182";4,47872735007202
"183";0
"184";0
"185";0
"186";0
"187";0
"188";0
"189";0
"190";0
"191";0
"192";0
"193";0
"194";0
"195";0
"196";0
"197";0
"198";0
"199";0
"200";0
"201";0
"202";0
"203";0
"204";0
"205";0
"206";0
"207";0
"208";0
"209";0
"210";0
"211";0
"212";0
"213";0
"214";0
"215";0
"216";0
"217";0
"218";0
"219";0
"220";0
"221";0
"222";0
"223";0
"224";0
"225";0
"226";0
"227";0
"228";0
"229";0
"230";0
"231";0
"232";0
"233";0
"234";0
"235";0
"236";0
"237";0
"238";0
"239";0
"240";0
"241";0
"242";0
"243";0
"244";0
"245";0
"246";0
"247";0
"248";0
"249";0
"250";0
"251";0
"252";0
"253";0
"254";0
"255";0
"256";0
"257";0
"258";0
"259";0
"260";0
"261";0,0151603959606896
"262";21,9219325665824
"263";0
"264";0
"265";0
"266";0
"267";0
"268";0
"269";0
"270";0
"271";0
"272";0
"273";0
"274";0
"275";0
"276";0
"277";0
"278";0
"279";0
"280";0
"281";0
"282";0
"283";0
"284";0
"285";0
"286";0
"287";0
"288";0
"289";2,96606425940575
"290";0
"291";1884,86324529376
"292";0
"293";631,391213248469
"294";68,1391613809399
"295";0
"296";0
"297";50,8127064148745
"298";0
"299";0
"300";53,0356637835062
"301";0
"302";0
"303";0
"304";1632,40746128679
"305";0
"306";0
"307";0
"308";0
"309";0
"310";0
"311";0
"312";59,1771015194625
"313";0
"314";0
"315";0
"316";0
"317";0
"318";0
"319";0
"320";0
"321";0
"322";0
"323";0
"324";0
"325";0
"326";0
"327";0,00382297410051595
"328";145,942036244356
"329";0
"330";0
"331";0
"332";0
"333";0
"334";0
"335";0
"336";0
"337";0
"338";0,340608882056339
"339";0
"340";0
"341";2,22076991028821
"342";0
"343";0
"344";0
"345";0
"346";0
